locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMFGFLLL_00022	CDS	597	nqrE	7.2.1.1	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
EMFGFLLL_00023	CDS	1227	nqrF	7.2.1.1	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
EMFGFLLL_00024	CDS	1005	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
EMFGFLLL_00025	CDS	234				hypothetical protein
EMFGFLLL_00026	CDS	1083	dinB	2.7.7.7	COG0389	DNA polymerase IV
EMFGFLLL_00027	CDS	744				hypothetical protein
EMFGFLLL_00028	CDS	1518				hypothetical protein
EMFGFLLL_00029	CDS	1356				hypothetical protein
EMFGFLLL_00030	CDS	1062		3.5.1.15		aspartoacylase
EMFGFLLL_00031	CDS	906	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
EMFGFLLL_00032	CDS	444				hypothetical protein
EMFGFLLL_00033	CDS	1473	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
EMFGFLLL_00034	CDS	1293	adeP		COG2252	Adenine permease AdeP
EMFGFLLL_00035	CDS	465	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
EMFGFLLL_00036	CDS	1248				hypothetical protein
EMFGFLLL_00037	CDS	390	crl			Sigma factor-binding protein Crl
EMFGFLLL_00038	CDS	1134	proB	2.7.2.11	COG0263	Glutamate 5-kinase
EMFGFLLL_00039	CDS	1251	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
EMFGFLLL_00040	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
EMFGFLLL_00041	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
EMFGFLLL_00042	CDS	654	ribE	2.5.1.9		Riboflavin synthase
EMFGFLLL_00043	CDS	1110	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
EMFGFLLL_00044	CDS	471	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
EMFGFLLL_00045	CDS	471	nusB		COG0781	Transcription antitermination protein NusB
EMFGFLLL_00046	CDS	975	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
EMFGFLLL_00047	CDS	510	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
EMFGFLLL_00048	CDS	384				hypothetical protein
EMFGFLLL_00049	CDS	2631	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
EMFGFLLL_00050	CDS	843	map	3.4.11.18	COG0024	Methionine aminopeptidase
EMFGFLLL_00051	CDS	729	rpsB		COG0052	30S ribosomal protein S2
EMFGFLLL_00052	CDS	843	tsf		COG0264	Elongation factor Ts
EMFGFLLL_00053	CDS	732	pyrH	2.7.4.22	COG0528	Uridylate kinase
EMFGFLLL_00054	CDS	558	frr		COG0233	Ribosome-recycling factor
EMFGFLLL_00055	CDS	753	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EMFGFLLL_00056	CDS	843	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
EMFGFLLL_00057	CDS	1209	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
EMFGFLLL_00058	CDS	1359	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
EMFGFLLL_00059	CDS	2412	bamA_1		COG4775	Outer membrane protein assembly factor BamA
EMFGFLLL_00060	CDS	501	skp		COG2825	Chaperone protein Skp
EMFGFLLL_00061	CDS	1056	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EMFGFLLL_00062	CDS	453	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
EMFGFLLL_00063	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EMFGFLLL_00064	CDS	1140	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
EMFGFLLL_00065	CDS	621	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EMFGFLLL_00066	CDS	3480	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
EMFGFLLL_00067	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EMFGFLLL_00068	CDS	1323	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
EMFGFLLL_00069	CDS	324	petJ			Cytochrome c6
EMFGFLLL_00070	CDS	525	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
EMFGFLLL_00071	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II
EMFGFLLL_00072	CDS	846				hypothetical protein
EMFGFLLL_00073	CDS	1599	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
EMFGFLLL_00074	CDS	759	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
EMFGFLLL_00075	CDS	732				hypothetical protein
EMFGFLLL_00076	CDS	471	rnhA	3.1.26.4	COG0328	Ribonuclease HI
EMFGFLLL_00077	CDS	744	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
EMFGFLLL_00078	CDS	1260				hypothetical protein
EMFGFLLL_00079	CDS	2445	fadE_1	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
EMFGFLLL_00080	CDS	576	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
EMFGFLLL_00081	CDS	846	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
EMFGFLLL_00082	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
EMFGFLLL_00083	CDS	1041	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
EMFGFLLL_00084	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
EMFGFLLL_00085	CDS	129				hypothetical protein
EMFGFLLL_00086	CDS	1422				hypothetical protein
EMFGFLLL_00087	CDS	987				hypothetical protein
EMFGFLLL_00088	CDS	579	smrA_1	3.1.-.-	COG2840	putative DNA endonuclease SmrA
EMFGFLLL_00089	CDS	141				hypothetical protein
EMFGFLLL_00090	tRNA	77				tRNA-Pro(tgg)
EMFGFLLL_00091	CDS	867				hypothetical protein
EMFGFLLL_00092	CDS	2652	chb	3.2.1.52	COG3525	N,N'-diacetylchitobiase
EMFGFLLL_00093	CDS	441				hypothetical protein
EMFGFLLL_00094	CDS	2721	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
EMFGFLLL_00095	CDS	1425	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
EMFGFLLL_00096	CDS	966	ompA_1		COG2885	Outer membrane protein A
EMFGFLLL_00097	CDS	699				hypothetical protein
EMFGFLLL_00098	CDS	2064				hypothetical protein
EMFGFLLL_00099	CDS	816	viuB		COG2375	Vibriobactin utilization protein ViuB
EMFGFLLL_00100	CDS	7257	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
EMFGFLLL_00101	CDS	1134				hypothetical protein
EMFGFLLL_00102	CDS	636				hypothetical protein
EMFGFLLL_00103	CDS	435				hypothetical protein
EMFGFLLL_00104	CDS	426				hypothetical protein
EMFGFLLL_00105	CDS	324				hypothetical protein
EMFGFLLL_00106	CDS	744				hypothetical protein
EMFGFLLL_00107	CDS	927	cheV_1		COG0784	Chemotaxis protein CheV
EMFGFLLL_00108	CDS	828	cheR1	2.1.1.80		Chemotaxis protein methyltransferase 1
EMFGFLLL_00109	CDS	396	flgB		COG1815	Flagellar basal body rod protein FlgB
EMFGFLLL_00110	CDS	417	flgC		COG1558	Flagellar basal-body rod protein FlgC
EMFGFLLL_00111	CDS	708				hypothetical protein
EMFGFLLL_00112	CDS	1305	flgE		COG1749	Flagellar hook protein FlgE
EMFGFLLL_00113	CDS	750	flgF		COG4787	Flagellar basal-body rod protein FlgF
EMFGFLLL_00114	CDS	789	flgG		COG4786	Flagellar basal-body rod protein FlgG
EMFGFLLL_00115	CDS	777	flgH			Flagellar L-ring protein
EMFGFLLL_00116	CDS	1086	flgI			Flagellar P-ring protein
EMFGFLLL_00117	CDS	939	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
EMFGFLLL_00118	CDS	1875				hypothetical protein
EMFGFLLL_00119	CDS	1194				hypothetical protein
EMFGFLLL_00120	CDS	1140	flaD_1		COG1344	Flagellin D
EMFGFLLL_00121	CDS	1134	flaC		COG1344	Flagellin C
EMFGFLLL_00122	tRNA	75				tRNA-Gln(ttg)
EMFGFLLL_00123	tRNA	85				tRNA-Leu(tag)
EMFGFLLL_00124	tRNA	86				tRNA-Leu(cag)
EMFGFLLL_00125	tRNA	77				tRNA-Met(cat)
EMFGFLLL_00126	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
EMFGFLLL_00127	CDS	591	pth_1	3.1.1.29		Peptidyl-tRNA hydrolase
EMFGFLLL_00128	CDS	945	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
EMFGFLLL_00129	CDS	873	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
EMFGFLLL_00130	CDS	618	lolB		COG3017	Outer-membrane lipoprotein LolB
EMFGFLLL_00131	CDS	1260	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
EMFGFLLL_00132	CDS	1089	prfA		COG0216	Peptide chain release factor RF1
EMFGFLLL_00133	CDS	861	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EMFGFLLL_00134	CDS	384	ychQ		COG3094	Protein YchQ
EMFGFLLL_00135	CDS	813				hypothetical protein
EMFGFLLL_00136	CDS	852	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
EMFGFLLL_00137	CDS	1662	ushA		COG0737	Protein UshA
EMFGFLLL_00138	CDS	483	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
EMFGFLLL_00139	CDS	1254				Uracil permease
EMFGFLLL_00140	CDS	1149				hypothetical protein
EMFGFLLL_00141	CDS	438				hypothetical protein
EMFGFLLL_00142	CDS	561		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
EMFGFLLL_00143	CDS	351	yfgD		COG1393	putative protein YfgD
EMFGFLLL_00144	CDS	1455	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
EMFGFLLL_00145	CDS	237	tusA_1			Sulfur carrier protein TusA
EMFGFLLL_00146	CDS	1065	tqsA		COG0628	AI-2 transport protein TqsA
EMFGFLLL_00147	CDS	1872	pctB_1		COG0840	Methyl-accepting chemotaxis protein PctB
EMFGFLLL_00148	CDS	468	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
EMFGFLLL_00149	CDS	543	gcvR		COG2716	Glycine cleavage system transcriptional repressor
EMFGFLLL_00150	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EMFGFLLL_00151	CDS	1020	bamC		COG3317	Outer membrane protein assembly factor BamC
EMFGFLLL_00152	CDS	213				hypothetical protein
EMFGFLLL_00153	CDS	675				hypothetical protein
EMFGFLLL_00154	CDS	1134	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
EMFGFLLL_00155	CDS	348	yffB		COG1393	Protein YffB
EMFGFLLL_00156	CDS	288				hypothetical protein
EMFGFLLL_00157	CDS	357				hypothetical protein
EMFGFLLL_00158	CDS	465				hypothetical protein
EMFGFLLL_00159	CDS	909	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
EMFGFLLL_00160	CDS	1137	flaD_2		COG1344	Flagellin D
EMFGFLLL_00161	CDS	1134	flaD_3		COG1344	Flagellin D
EMFGFLLL_00162	CDS	1131	flaB		COG1344	Flagellin B
EMFGFLLL_00163	CDS	462				hypothetical protein
EMFGFLLL_00164	CDS	2001				hypothetical protein
EMFGFLLL_00165	CDS	306				hypothetical protein
EMFGFLLL_00166	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
EMFGFLLL_00167	CDS	1467	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
EMFGFLLL_00168	CDS	1053	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
EMFGFLLL_00169	CDS	1434	atoC_1		COG2204	Regulatory protein AtoC
EMFGFLLL_00170	CDS	312	fliE		COG1677	Flagellar hook-basal body complex protein FliE
EMFGFLLL_00171	CDS	1743				hypothetical protein
EMFGFLLL_00172	CDS	1047	fliG		COG1536	Flagellar motor switch protein FliG
EMFGFLLL_00173	CDS	801				hypothetical protein
EMFGFLLL_00174	CDS	1320	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
EMFGFLLL_00175	CDS	444				hypothetical protein
EMFGFLLL_00176	CDS	2010				hypothetical protein
EMFGFLLL_00177	CDS	504				hypothetical protein
EMFGFLLL_00178	CDS	1050	fliM		COG1868	Flagellar motor switch protein FliM
EMFGFLLL_00179	CDS	411				hypothetical protein
EMFGFLLL_00180	CDS	390				hypothetical protein
EMFGFLLL_00181	CDS	900				hypothetical protein
EMFGFLLL_00182	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
EMFGFLLL_00183	CDS	783	fliR		COG1684	Flagellar biosynthetic protein FliR
EMFGFLLL_00184	CDS	1131	flhB		COG1377	Flagellar biosynthetic protein FlhB
EMFGFLLL_00185	CDS	555	smrA_2	3.1.-.-	COG2840	putative DNA endonuclease SmrA
EMFGFLLL_00186	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
EMFGFLLL_00187	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
EMFGFLLL_00188	CDS	624				hypothetical protein
EMFGFLLL_00189	CDS	531	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
EMFGFLLL_00190	CDS	264				hypothetical protein
EMFGFLLL_00191	CDS	528	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
EMFGFLLL_00192	CDS	2016	mnmC_1		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EMFGFLLL_00193	CDS	1212	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
EMFGFLLL_00194	CDS	1146	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
EMFGFLLL_00195	CDS	1014	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
EMFGFLLL_00196	CDS	453	fur		COG0735	Ferric uptake regulation protein
EMFGFLLL_00197	CDS	501				hypothetical protein
EMFGFLLL_00198	CDS	879	cynR_1			HTH-type transcriptional regulator CynR
EMFGFLLL_00199	CDS	441	cidA			Holin-like protein CidA
EMFGFLLL_00200	CDS	690	yohK_1		COG1346	Inner membrane protein YohK
EMFGFLLL_00201	CDS	528	fldA		COG0716	Flavodoxin
EMFGFLLL_00202	CDS	222				hypothetical protein
EMFGFLLL_00203	CDS	774	ybfF	3.1.-.-	COG0596	Esterase YbfF
EMFGFLLL_00204	CDS	534	seqA		COG3057	Negative modulator of initiation of replication
EMFGFLLL_00205	CDS	1647	pgm_1	5.4.2.2	COG0033	Phosphoglucomutase
EMFGFLLL_00206	CDS	774				hypothetical protein
EMFGFLLL_00207	CDS	759			COG0327	GTP cyclohydrolase 1 type 2 
EMFGFLLL_00208	CDS	1290	gltA	2.3.3.16	COG0372	Citrate synthase
EMFGFLLL_00209	CDS	393	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
EMFGFLLL_00210	CDS	345	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
EMFGFLLL_00211	CDS	1710	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
EMFGFLLL_00212	CDS	711	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
EMFGFLLL_00213	CDS	2811	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
EMFGFLLL_00214	CDS	1215	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
EMFGFLLL_00215	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
EMFGFLLL_00216	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
EMFGFLLL_00217	CDS	819	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
EMFGFLLL_00218	CDS	789	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
EMFGFLLL_00219	CDS	885	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
EMFGFLLL_00220	CDS	3345	rhaR_1			HTH-type transcriptional activator RhaR
EMFGFLLL_00221	CDS	231				hypothetical protein
EMFGFLLL_00222	CDS	2277	feoB_1		COG0370	Fe(2+) transporter FeoB
EMFGFLLL_00223	CDS	231				hypothetical protein
EMFGFLLL_00224	CDS	429				hypothetical protein
EMFGFLLL_00225	CDS	1779	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
EMFGFLLL_00226	CDS	597	yecM		COG3102	Protein YecM
EMFGFLLL_00227	CDS	2772	ptrA	3.4.24.55	COG1025	Protease 3
EMFGFLLL_00228	CDS	468	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
EMFGFLLL_00229	CDS	2094	flhA		COG1298	Flagellar biosynthesis protein FlhA
EMFGFLLL_00230	CDS	1488	ftsY_1			Signal recognition particle receptor FtsY
EMFGFLLL_00231	CDS	888	ylxH		COG0455	Flagellum site-determining protein YlxH
EMFGFLLL_00232	CDS	735	fliA		COG1191	RNA polymerase sigma factor FliA
EMFGFLLL_00233	CDS	381	cheY_1		COG0784	Chemotaxis protein CheY
EMFGFLLL_00234	CDS	720	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
EMFGFLLL_00235	CDS	2382				hypothetical protein
EMFGFLLL_00236	CDS	1134	cheB1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase 1
EMFGFLLL_00237	CDS	777	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
EMFGFLLL_00238	CDS	1017				hypothetical protein
EMFGFLLL_00239	CDS	495	cheW_1		COG0835	Chemotaxis protein CheW
EMFGFLLL_00240	CDS	480				hypothetical protein
EMFGFLLL_00241	CDS	624	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
EMFGFLLL_00242	CDS	669	ccmB		COG2386	Heme exporter protein B
EMFGFLLL_00243	CDS	753	ccmC		COG0755	Heme exporter protein C
EMFGFLLL_00244	CDS	207				hypothetical protein
EMFGFLLL_00245	CDS	483	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
EMFGFLLL_00246	CDS	1956	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
EMFGFLLL_00247	CDS	555	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
EMFGFLLL_00248	CDS	477				hypothetical protein
EMFGFLLL_00249	CDS	1215				hypothetical protein
EMFGFLLL_00250	CDS	747	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
EMFGFLLL_00251	CDS	672	ephD	1.-.-.-	COG1028	putative oxidoreductase EphD
EMFGFLLL_00252	CDS	504				hypothetical protein
EMFGFLLL_00253	CDS	585	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
EMFGFLLL_00254	CDS	333	grxD		COG0278	Glutaredoxin 4
EMFGFLLL_00255	CDS	1944	topB	5.6.2.1	COG0550	DNA topoisomerase 3
EMFGFLLL_00256	CDS	417				hypothetical protein
EMFGFLLL_00257	CDS	471	acuC			Acetoin utilization protein AcuC
EMFGFLLL_00258	tRNA	91				tRNA-Ser(tga)
EMFGFLLL_00259	tRNA	77				tRNA-Pro(ggg)
EMFGFLLL_00260	CDS	1803	yejM_1		COG3083	Inner membrane protein YejM
EMFGFLLL_00261	CDS	216				hypothetical protein
EMFGFLLL_00262	CDS	1002	yejK		COG3081	Nucleoid-associated protein YejK
EMFGFLLL_00263	CDS	1206				hypothetical protein
EMFGFLLL_00264	CDS	1446	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
EMFGFLLL_00265	CDS	1113	asd1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 1
EMFGFLLL_00266	CDS	639				hypothetical protein
EMFGFLLL_00267	CDS	2685	adhE		COG1012	Aldehyde-alcohol dehydrogenase
EMFGFLLL_00268	CDS	876				hypothetical protein
EMFGFLLL_00269	CDS	1560				hypothetical protein
EMFGFLLL_00270	CDS	3159	rne	3.1.26.12	COG1530	Ribonuclease E
EMFGFLLL_00271	CDS	948	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
EMFGFLLL_00272	CDS	582	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
EMFGFLLL_00273	CDS	525	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
EMFGFLLL_00274	CDS	171	rpmF		COG0333	50S ribosomal protein L32
EMFGFLLL_00275	CDS	1026	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
EMFGFLLL_00276	CDS	951	fabH1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
EMFGFLLL_00277	CDS	924	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
EMFGFLLL_00278	CDS	747	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EMFGFLLL_00279	CDS	237	acpP		COG0236	Acyl carrier protein
EMFGFLLL_00280	CDS	1245	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EMFGFLLL_00281	CDS	804	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
EMFGFLLL_00282	CDS	1017	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
EMFGFLLL_00283	CDS	639	tmk	2.7.4.9	COG0125	Thymidylate kinase
EMFGFLLL_00284	CDS	975	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
EMFGFLLL_00285	CDS	768	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
EMFGFLLL_00286	CDS	1431	ptsG		COG1263	PTS system glucose-specific EIICB component
EMFGFLLL_00287	CDS	102				hypothetical protein
EMFGFLLL_00288	CDS	1461				hypothetical protein
EMFGFLLL_00289	CDS	591				hypothetical protein
EMFGFLLL_00290	CDS	90				hypothetical protein
EMFGFLLL_00291	CDS	1158				hypothetical protein
EMFGFLLL_00292	CDS	1446	pykA_1	2.7.1.40	COG0469	Pyruvate kinase II
EMFGFLLL_00293	CDS	1218	mlc		COG1940	Protein mlc
EMFGFLLL_00294	CDS	945	cheV_2		COG0784	Chemotaxis protein CheV
EMFGFLLL_00295	CDS	357				hypothetical protein
EMFGFLLL_00296	CDS	921				hypothetical protein
EMFGFLLL_00297	CDS	819	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
EMFGFLLL_00298	CDS	1005				hypothetical protein
EMFGFLLL_00299	CDS	891	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
EMFGFLLL_00300	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
EMFGFLLL_00301	CDS	405	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
EMFGFLLL_00302	CDS	825				hypothetical protein
EMFGFLLL_00303	CDS	288				hypothetical protein
EMFGFLLL_00304	CDS	1014	ansA	3.5.1.1	COG0252	L-asparaginase 1
EMFGFLLL_00305	CDS	1851	sppA	3.4.21.-	COG0616	Protease 4
EMFGFLLL_00306	CDS	2001	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
EMFGFLLL_00307	CDS	834	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
EMFGFLLL_00308	CDS	204				hypothetical protein
EMFGFLLL_00309	CDS	2013	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
EMFGFLLL_00310	CDS	714	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
EMFGFLLL_00311	CDS	306				hypothetical protein
EMFGFLLL_00312	CDS	558				hypothetical protein
EMFGFLLL_00313	CDS	855	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EMFGFLLL_00314	CDS	1701	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
EMFGFLLL_00315	CDS	1122	rnd	3.1.13.5	COG0349	Ribonuclease D
EMFGFLLL_00316	CDS	1848				hypothetical protein
EMFGFLLL_00317	CDS	552	glpG_1	3.4.21.105		Rhomboid protease GlpG
EMFGFLLL_00318	CDS	603				hypothetical protein
EMFGFLLL_00319	CDS	1326	dgt_1		COG0232	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
EMFGFLLL_00320	CDS	585	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
EMFGFLLL_00321	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EMFGFLLL_00322	CDS	1308	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
EMFGFLLL_00323	CDS	1713	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
